,symbol,trades,wins,losses,win_rate,total_pnl,avg_pnl,best,worst,max_dd
1,HCLTECH,19,9,10,47.4,472.1,24.85,227.5,-58.0,145.0
2,VEDL,11,6,5,54.5,251.55,22.87,129.95,-61.6,61.6
3,ONGC,16,11,5,68.8,233.24,14.58,97.5,-67.5,67.5
4,BHARTIARTL,27,12,15,44.4,106.5,3.94,62.8,-60.8,67.8
5,DRREDDY,17,9,8,52.9,6.9,0.41,57.5,-105.0,210.5
6,TORNTPHARM,24,12,12,50.0,-52.3,-2.18,45.4,-55.0,188.4
7,BAJFINANCE,23,12,11,52.2,-95.35,-4.15,76.3,-114.1,175.7
8,DABUR,20,8,12,40.0,-120.35,-6.02,131.75,-101.6,248.8
9,JSWSTEEL,19,5,14,26.3,-129.1,-6.79,129.5,-87.0,202.0
10,INFY,16,7,9,43.8,-143.4,-8.96,52.5,-57.5,230.0
11,GODREJCP,22,11,11,50.0,-198.55,-9.03,103.6,-103.6,282.5
12,HINDUNILVR,32,13,19,40.6,-226.6,-7.08,120.3,-191.4,507.6
