symbol,zone_source,zone_class,direction,pattern,zone_low,zone_high,zone_strength,confluent,confluent_hourly_pattern,has_divergence,has_htf_momentum,passes_body_filter,passes_gap_filter,touch_number,entry_ts,entry_price,reaction_pattern,reaction_rsi,reaction_vol_ratio,exit_ts,exit_price,exit_reason,gross_pnl_pct,pnl_pct,hold_bars
ABB,5m,continuation,short,DBD,6250.0,6254.5,8.46,True,DBD,False,False,True,True,1,2026-04-07 07:25:00+00:00,6252.5,pin_bar,74.1,1.84,2026-04-07 08:00:00+00:00,6267.01,stop_loss,-0.232,-0.532,7
ABB,5m,continuation,long,RBR,7138.5,7149.5,4.94,False,,False,False,True,True,1,2026-06-05 07:20:00+00:00,7151.0,pin_bar,34.1,1.97,2026-06-05 07:50:00+00:00,7124.22,stop_loss,-0.374,-0.674,6
ABB,1h,continuation,short,DBD,6912.5,6945.0,3.53,False,,True,False,True,False,1,2026-06-15 05:50:00+00:00,6923.5,pin_bar,65.3,1.58,2026-06-15 06:25:00+00:00,6958.89,stop_loss,-0.511,-0.812,7
ABB,1h,continuation,short,DBD,6912.5,6945.0,3.53,False,,False,False,True,False,2,2026-06-15 09:00:00+00:00,6946.0,pin_bar,67.5,3.33,2026-06-15 09:15:00+00:00,6958.89,stop_loss,-0.186,-0.486,3
ADANIENT,1h,continuation,long,RBR,2356.0,2363.449951171875,39.49,False,,False,True,True,False,1,2025-07-31 09:50:00+00:00,2364.28,engulfing,30.2,1.61,2025-07-31 09:55:00+00:00,2351.29,stop_loss,-0.55,-0.849,1
ADANIENT,1h,continuation,short,DBD,3200.60009765625,3210.0,6.24,False,,False,True,True,False,1,2026-07-02 04:45:00+00:00,3182.6,pin_bar,67.0,1.35,2026-07-02 07:00:00+00:00,3165.3,trailing_stop,0.544,0.244,27
ADANIENT,1h,continuation,short,DBD,3146.14990234375,3153.0,9.96,False,,True,True,True,False,1,2026-07-01 09:10:00+00:00,3146.0,pin_bar,75.8,2.03,2026-07-02 03:45:00+00:00,3159.31,stop_loss,-0.423,-0.723,10
ADANIENT,1h,continuation,short,DBD,3102.25,3109.550048828125,7.11,False,,False,False,True,False,1,2026-06-25 05:45:00+00:00,3097.3,pin_bar,65.8,2.32,2026-06-25 06:30:00+00:00,3086.15,trailing_stop,0.36,0.06,9
ADANIENT,1h,continuation,long,RBR,2149.199951171875,2167.0,11.45,False,,False,True,True,False,1,2025-08-07 07:30:00+00:00,2151.19,engulfing,22.7,1.43,2025-08-07 07:35:00+00:00,2144.9,stop_loss,-0.292,-0.592,1
ADANIENT,1h,continuation,long,RBR,2452.449951171875,2459.0,5.37,False,,False,True,True,False,1,2025-07-28 08:05:00+00:00,2455.12,pin_bar,29.7,1.79,2025-07-28 08:25:00+00:00,2447.55,stop_loss,-0.309,-0.608,4
ADANIENT,1h,continuation,long,RBR,2249.050048828125,2253.85009765625,3.98,False,,False,True,True,False,1,2025-08-05 04:30:00+00:00,2256.48,pin_bar,20.9,2.18,2025-08-05 05:15:00+00:00,2262.49,trailing_stop,0.266,-0.034,9
ADANIENT,1h,continuation,long,RBR,2501.39990234375,2510.0,4.41,False,,True,False,True,False,1,2025-07-22 09:00:00+00:00,2509.61,pin_bar,31.5,2.98,2025-07-23 03:45:00+00:00,2536.04,take_profit,1.053,0.803,12
ADANIENT,1h,continuation,short,DBD,2399.0,2403.0,10.01,False,,False,True,True,False,1,2026-04-28 04:35:00+00:00,2390.3,engulfing,73.0,1.37,2026-04-28 06:05:00+00:00,2380.0,trailing_stop,0.431,0.131,18
ADANIENT,1h,continuation,short,DBD,2268.60009765625,2276.10009765625,9.08,False,,False,False,True,False,1,2026-04-22 08:10:00+00:00,2271.1,pin_bar,78.9,2.48,2026-04-22 08:30:00+00:00,2252.0,take_profit,0.841,0.591,4
ADANIENT,1h,continuation,long,RBR,3033.0,3044.5,6.63,False,,False,False,True,False,1,2026-07-08 09:00:00+00:00,3041.0,pin_bar,19.8,2.35,2026-07-08 09:35:00+00:00,3048.05,trailing_stop,0.232,-0.068,7
ADANIENT,1h,continuation,long,RBR,3033.0,3044.5,6.63,False,,False,True,True,False,2,2026-07-23 07:05:00+00:00,3055.9,pin_bar,28.0,3.57,2026-07-23 07:30:00+00:00,3026.93,stop_loss,-0.948,-1.247,5
ADANIPORTS,5m,continuation,short,DBD,1706.0,1707.4,7.35,False,,False,False,True,True,1,2026-09-08 08:50:00+00:00,1706.6,engulfing,66.6,2.92,2026-09-08 09:00:00+00:00,1710.81,stop_loss,-0.247,-0.547,2
ADANIPORTS,1h,continuation,short,DBD,1497.199951171875,1499.4000244140625,11.07,False,,False,True,True,False,1,2026-04-15 03:45:00+00:00,1495.8,pin_bar,80.1,2.43,2026-04-15 04:15:00+00:00,1502.4,stop_loss,-0.441,-0.742,6
ADANIPORTS,1h,continuation,long,RBR,1728.199951171875,1735.9000244140625,9.33,False,,False,False,True,False,1,2026-05-11 03:45:00+00:00,1742.8,pin_bar,20.7,3.38,2026-05-11 05:00:00+00:00,1756.65,trailing_stop,0.795,0.494,15
ADANIPOWER,5m,continuation,long,RBR,202.84,203.02,14.34,True,RBR,True,False,True,True,1,2026-08-17 05:15:00+00:00,202.83,pin_bar,20.9,1.31,2026-08-17 05:30:00+00:00,202.43,stop_loss,-0.195,-0.495,3
ADANIPOWER,5m,continuation,long,RBR,218.25,218.49,9.84,False,,False,True,True,True,1,2026-06-11 03:45:00+00:00,220.4,pin_bar,25.8,2.11,2026-06-11 06:40:00+00:00,217.81,stop_loss,-1.174,-1.473,35
ADANIPOWER,5m,continuation,long,RBR,220.51,220.81,5.34,False,,False,True,True,True,1,2026-06-10 09:35:00+00:00,220.87,pin_bar,27.4,2.47,2026-06-10 09:45:00+00:00,220.07,stop_loss,-0.363,-0.662,2
ADANIPOWER,5m,reversal,long,DBR,227.98,228.39,9.88,False,,False,False,True,True,1,2026-06-08 03:45:00+00:00,230.22,pin_bar,32.9,2.23,2026-06-08 04:05:00+00:00,232.28,trailing_stop,0.897,0.596,4
ADANIPOWER,5m,continuation,long,RBR,203.01,203.15,51.42,True,RBR,False,False,True,True,1,2026-08-19 04:00:00+00:00,203.3,pin_bar,14.1,1.49,2026-08-19 04:30:00+00:00,204.69,take_profit,0.685,0.435,6
ADANIPOWER,5m,continuation,long,RBR,203.01,203.15,51.42,True,RBR,False,False,True,True,2,2026-08-19 09:40:00+00:00,203.25,pin_bar,31.3,4.98,2026-08-20 03:45:00+00:00,204.54,take_profit,0.636,0.386,1
ADANIPOWER,1h,reversal,short,RBD,173.8199920654297,175.75999450683594,62.3,False,,False,True,True,False,1,2026-04-10 03:50:00+00:00,174.47,pin_bar,84.6,1.63,2026-04-10 04:15:00+00:00,173.62,trailing_stop,0.49,0.19,5
ADANIPOWER,1h,continuation,short,DBD,167.44000244140625,168.1300048828125,4.42,False,,False,False,True,False,1,2026-04-08 04:00:00+00:00,166.67,pin_bar,66.0,3.56,2026-04-08 05:00:00+00:00,168.47,stop_loss,-1.078,-1.379,12
ADANIPOWER,1h,continuation,short,DBD,228.75,230.3800048828125,4.33,False,,True,False,True,False,1,2026-07-14 05:45:00+00:00,227.19,pin_bar,80.4,3.36,2026-07-15 05:15:00+00:00,224.3,trailing_stop,1.274,0.975,69
ADANIPOWER,1h,reversal,long,DBR,223.17999267578125,224.1999969482422,15.22,False,,False,False,True,False,1,2026-07-02 07:15:00+00:00,224.07,pin_bar,26.6,2.75,2026-07-02 08:00:00+00:00,224.78,trailing_stop,0.319,0.019,9
ALKEM,5m,continuation,long,RBR,5521.0,5525.0,25.21,False,,False,False,True,True,1,2026-04-17 03:45:00+00:00,5528.5,pin_bar,31.2,2.18,2026-04-17 03:55:00+00:00,5509.96,stop_loss,-0.335,-0.635,2
