symbol,direction,pattern,zone_low,zone_high,zone_strength,confluent,confluent_hourly_pattern,has_divergence,has_htf_momentum,passes_body_filter,passes_gap_filter,touch_number,entry_ts,entry_price,reaction_pattern,reaction_rsi,reaction_vol_ratio,exit_ts,exit_price,exit_reason,pnl_pct,hold_bars,status
APOLLOHOSP,short,RBD,7686.0,7696.0,16.14,False,,False,False,True,False,1,2026-02-23 09:55:00+00:00,7698.0,pin_bar,68.3,4.35,2026-02-24 03:45:00+00:00,7711.39,stop_loss,-0.174,1,filtered
APOLLOHOSP,short,RBD,8936.5,8940.0,25.94,False,,False,False,True,True,1,2026-07-22 09:50:00+00:00,8939.0,pin_bar,71.0,4.22,2026-07-23 03:45:00+00:00,8901.24,take_profit,0.422,2,active
BANKBARODA,short,RBD,265.8500061035156,266.04998779296875,54.81,False,,False,False,False,False,1,2026-06-03 07:15:00+00:00,265.5,pin_bar,69.8,3.96,2026-06-03 08:20:00+00:00,266.58,stop_loss,-0.408,13,filtered
BANKBARODA,short,RBD,281.0899963378906,281.3099975585937,10.01,False,,False,False,True,True,1,2026-06-15 03:45:00+00:00,280.3,pin_bar,81.6,1.57,2026-06-15 09:15:00+00:00,277.15,take_profit,1.122,66,active
BEL,long,DBR,441.4500122070313,441.7999877929688,30.79,False,,False,False,True,False,1,2026-04-24 04:25:00+00:00,442.0,pin_bar,23.3,1.41,2026-04-24 04:45:00+00:00,443.32,trailing_stop,0.3,4,filtered
BHARTIARTL,short,RBD,1960.7,1961.5,13.52,False,,False,False,True,False,1,2026-01-29 05:50:00+00:00,1960.9,pin_bar,67.1,1.49,2026-01-29 06:20:00+00:00,1965.42,stop_loss,-0.231,6,filtered
BHARTIARTL,short,RBD,1836.5999755859373,1837.800048828125,4.98,False,,False,True,True,True,1,2026-06-15 08:35:00+00:00,1839.2,pin_bar,65.4,2.49,2026-06-15 08:40:00+00:00,1841.48,stop_loss,-0.124,1,active
BHARTIARTL,short,RBD,1949.0999755859373,1950.699951171875,5.97,False,,True,False,False,True,1,2026-07-07 06:55:00+00:00,1951.1,pin_bar,65.7,1.65,2026-07-07 07:00:00+00:00,1944.1,take_profit,0.359,1,filtered
BRITANNIA,long,DBR,5797.0,5800.0,49.11,False,,False,False,False,True,1,2025-11-03 06:20:00+00:00,5801.0,pin_bar,29.8,13.74,2025-11-03 06:40:00+00:00,5785.41,stop_loss,-0.269,4,filtered
BRITANNIA,long,DBR,5680.5,5683.5,8.47,False,,False,False,True,True,1,2026-04-30 03:45:00+00:00,5681.5,pin_bar,34.9,2.93,2026-04-30 04:10:00+00:00,5693.75,trailing_stop,0.216,5,active
CIPLA,long,DBR,1398.0,1398.9000244140625,13.72,False,,False,False,True,True,1,2026-05-21 06:25:00+00:00,1400.0,pin_bar,34.1,1.98,2026-05-21 06:55:00+00:00,1402.85,trailing_stop,0.204,6,active
CIPLA,long,DBR,1398.0,1398.9000244140625,13.72,False,,False,False,True,True,2,2026-05-21 09:45:00+00:00,1399.9,pin_bar,27.4,1.54,2026-05-22 08:45:00+00:00,1404.4,trailing_stop,0.321,63,active
DABUR,long,DBR,420.5499877929688,421.0499877929688,20.69,False,,False,False,True,True,1,2026-06-12 07:00:00+00:00,421.35,pin_bar,30.7,1.33,2026-06-12 08:20:00+00:00,422.45,trailing_stop,0.261,16,active
DABUR,long,DBR,420.5499877929688,421.0499877929688,20.69,False,,False,False,True,True,2,2026-06-23 03:45:00+00:00,421.45,pin_bar,26.0,7.79,2026-06-23 04:20:00+00:00,424.93,take_profit,0.826,7,active
DRREDDY,long,DBR,1275.0,1276.300048828125,22.71,False,,True,False,False,True,1,2026-06-09 06:45:00+00:00,1274.7,pin_bar,27.9,1.4,2026-06-09 06:50:00+00:00,1272.45,stop_loss,-0.177,1,filtered
EICHERMOT,short,RBD,5430.5,5433.0,12.62,False,,False,False,True,True,1,2025-07-29 07:10:00+00:00,5421.0,pin_bar,65.5,4.19,2025-07-29 08:40:00+00:00,5443.87,stop_loss,-0.422,18,active
EICHERMOT,long,DBR,7237.0,7240.5,4.74,False,,False,True,True,True,1,2026-01-20 08:50:00+00:00,7240.0,pin_bar,31.6,1.65,2026-01-20 09:30:00+00:00,7222.53,stop_loss,-0.241,8,active
EICHERMOT,long,DBR,7325.0,7328.5,11.07,False,,True,False,True,True,1,2026-05-07 09:50:00+00:00,7330.0,pin_bar,33.4,3.85,2026-05-08 03:45:00+00:00,7310.35,stop_loss,-0.268,2,active
FEDERALBNK,short,RBD,284.95,285.2,31.98,False,,False,False,True,False,1,2026-01-28 09:30:00+00:00,284.95,pin_bar,66.7,3.11,2026-01-28 09:50:00+00:00,284.48,trailing_stop,0.167,4,filtered
